base_trade_pct,trigger_pct,max_trade_usd,min_trade_usd,multiplier,Market_Trend,Avg_Trading_Profit_USD,Avg_Hold_Profit_USD,Total_Months,Avg_Num_Trades,Profit_Diff
0.2,0.2,500,15,1.0,Bullish,192.51,214.69,17,1.88,-22.180000000000007
0.2,0.2,750,15,1.0,Bullish,192.51,214.69,17,1.88,-22.180000000000007
0.2,0.2,1000,15,1.0,Bullish,192.51,214.69,17,1.88,-22.180000000000007
0.2,0.2,500,15,1.1,Bullish,192.4,214.69,17,1.88,-22.289999999999992
0.2,0.2,500,15,1.2,Bullish,192.29,214.69,17,1.88,-22.400000000000006
0.2,0.2,750,15,1.2,Bullish,192.29,214.69,17,1.88,-22.400000000000006
0.5,0.02,750,15,1.0,Bullish,189.18,214.69,17,98.53,-25.50999999999999
0.5,0.02,1000,15,1.0,Bullish,189.18,214.69,17,98.53,-25.50999999999999
0.5,0.02,1000,15,1.2,Bullish,188.87,214.69,17,94.94,-25.819999999999993
0.5,0.02,750,15,1.1,Bullish,188.74,214.69,17,97.41,-25.94999999999999
0.5,0.02,1000,15,1.1,Bullish,188.74,214.69,17,97.41,-25.94999999999999
0.1,0.05,1000,15,1.1,Bullish,188.39,214.69,17,22.06,-26.30000000000001
0.1,0.05,500,15,1.1,Bullish,188.39,214.69,17,22.06,-26.30000000000001
0.1,0.05,750,15,1.1,Bullish,188.39,214.69,17,22.06,-26.30000000000001
0.5,0.02,500,15,1.0,Bullish,186.9,214.69,17,98.53,-27.789999999999992
0.1,0.05,750,15,1.2,Bullish,186.16,214.69,17,22.06,-28.53
0.1,0.02,750,15,1.0,Bullish,186.0,214.69,17,101.41,-28.689999999999998
0.1,0.02,500,15,1.0,Bullish,186.0,214.69,17,101.41,-28.689999999999998
0.5,0.02,500,15,1.2,Bullish,185.87,214.69,17,94.94,-28.819999999999993
0.4,0.02,1000,15,1.0,Bullish,185.65,214.69,17,99.82,-29.039999999999992
0.4,0.02,500,15,1.0,Bullish,185.64,214.69,17,99.82,-29.05000000000001
0.4,0.02,750,15,1.1,Bullish,184.7,214.69,17,99.12,-29.99000000000001
0.4,0.02,1000,15,1.1,Bullish,184.7,214.69,17,99.12,-29.99000000000001
0.4,0.02,750,15,1.2,Bullish,184.32,214.69,17,98.18,-30.370000000000005
0.2,0.1,500,15,1.0,Bullish,183.06,214.69,17,6.18,-31.629999999999995
0.2,0.1,750,15,1.0,Bullish,183.06,214.69,17,6.18,-31.629999999999995
0.3,0.2,1000,15,1.0,Bullish,182.43,214.69,17,1.88,-32.25999999999999
0.3,0.2,500,15,1.0,Bullish,182.43,214.69,17,1.88,-32.25999999999999
0.3,0.2,1000,15,1.1,Bullish,182.33,214.69,17,1.88,-32.359999999999985
0.3,0.2,500,15,1.1,Bullish,182.33,214.69,17,1.88,-32.359999999999985
0.3,0.2,750,15,1.1,Bullish,182.33,214.69,17,1.88,-32.359999999999985
0.3,0.02,500,15,1.0,Bullish,182.31,214.69,17,100.88,-32.379999999999995
0.3,0.02,1000,15,1.0,Bullish,182.31,214.69,17,100.88,-32.379999999999995
0.3,0.02,750,15,1.0,Bullish,182.31,214.69,17,100.88,-32.379999999999995
0.3,0.2,500,15,1.2,Bullish,182.24,214.69,17,1.88,-32.44999999999999
0.3,0.2,750,15,1.2,Bullish,182.24,214.69,17,1.88,-32.44999999999999
0.3,0.2,1000,15,1.2,Bullish,182.24,214.69,17,1.88,-32.44999999999999
0.2,0.05,500,15,1.0,Bullish,182.22,214.69,17,22.06,-32.47
0.2,0.05,1000,15,1.0,Bullish,182.22,214.69,17,22.06,-32.47
0.2,0.05,750,15,1.0,Bullish,182.22,214.69,17,22.06,-32.47
0.2,0.1,500,15,1.1,Bullish,182.15,214.69,17,6.18,-32.53999999999999
0.2,0.02,500,15,1.0,Bullish,181.32,214.69,17,101.24,-33.370000000000005
0.2,0.02,750,15,1.0,Bullish,181.32,214.69,17,101.24,-33.370000000000005
0.2,0.1,500,15,1.2,Bullish,181.25,214.69,17,6.18,-33.44
0.2,0.1,1000,15,1.2,Bullish,181.25,214.69,17,6.18,-33.44
0.1,0.02,1000,15,1.1,Bullish,181.2,214.69,17,101.41,-33.49000000000001
0.2,0.05,500,15,1.1,Bullish,180.18,214.69,17,22.06,-34.50999999999999
0.3,0.02,1000,15,1.2,Bullish,178.93,214.69,17,99.71,-35.75999999999999
0.3,0.02,500,15,1.2,Bullish,178.93,214.69,17,99.71,-35.75999999999999
0.2,0.05,1000,15,1.2,Bullish,178.2,214.69,17,22.06,-36.49000000000001
0.2,0.05,750,15,1.2,Bullish,178.2,214.69,17,22.06,-36.49000000000001
0.2,0.02,1000,15,1.1,Bullish,177.76,214.69,17,101.06,-36.93000000000001
0.3,0.05,1000,15,1.0,Bullish,176.86,214.69,17,22.06,-37.829999999999984
0.3,0.05,500,15,1.0,Bullish,176.86,214.69,17,22.06,-37.829999999999984
0.3,0.05,750,15,1.0,Bullish,176.86,214.69,17,22.06,-37.829999999999984
0.1,0.02,1000,15,1.2,Bullish,176.41,214.69,17,101.24,-38.28
0.1,0.02,500,15,1.2,Bullish,176.41,214.69,17,101.24,-38.28
0.2,0.02,1000,15,1.2,Bullish,174.77,214.69,17,100.82,-39.91999999999999
0.3,0.05,750,15,1.1,Bullish,174.73,214.69,17,21.94,-39.96000000000001
0.3,0.1,1000,15,1.0,Bullish,174.2,214.69,17,6.18,-40.49000000000001
0.3,0.1,750,15,1.0,Bullish,174.2,214.69,17,6.18,-40.49000000000001
0.3,0.1,500,15,1.0,Bullish,174.2,214.69,17,6.18,-40.49000000000001
0.4,0.2,500,15,1.0,Bullish,172.72,214.69,17,1.88,-41.97
0.3,0.05,750,15,1.2,Bullish,172.7,214.69,17,21.65,-41.99000000000001
0.3,0.05,1000,15,1.2,Bullish,172.7,214.69,17,21.65,-41.99000000000001
0.4,0.05,500,15,1.0,Bullish,172.67,214.69,17,21.76,-42.02000000000001
0.4,0.05,1000,15,1.0,Bullish,172.65,214.69,17,21.76,-42.03999999999999
0.4,0.05,750,15,1.0,Bullish,172.65,214.69,17,21.76,-42.03999999999999
0.4,0.2,1000,15,1.1,Bullish,172.64,214.69,17,1.88,-42.05000000000001
0.4,0.2,750,15,1.1,Bullish,172.64,214.69,17,1.88,-42.05000000000001
0.4,0.2,1000,15,1.2,Bullish,172.55,214.69,17,1.88,-42.139999999999986
0.3,0.1,500,15,1.2,Bullish,172.33,214.69,17,6.18,-42.359999999999985
0.5,0.05,500,15,1.0,Bullish,170.84,214.69,17,21.29,-43.849999999999994
0.4,0.05,750,15,1.1,Bullish,170.36,214.69,17,21.59,-44.329999999999984
0.4,0.05,500,15,1.2,Bullish,168.65,214.69,17,21.18,-46.03999999999999
0.5,0.05,500,15,1.1,Bullish,168.62,214.69,17,21.12,-46.06999999999999
0.5,0.05,1000,15,1.1,Bullish,167.72,214.69,17,21.12,-46.97
0.4,0.1,750,15,1.0,Bullish,167.72,214.69,17,6.18,-46.97
0.5,0.05,750,15,1.1,Bullish,167.72,214.69,17,21.12,-46.97
0.4,0.1,500,15,1.1,Bullish,166.92,214.69,17,6.18,-47.77000000000001
0.5,0.05,500,15,1.2,Bullish,166.75,214.69,17,20.65,-47.94
0.5,0.05,1000,15,1.2,Bullish,165.48,214.69,17,20.59,-49.21000000000001
0.5,0.05,750,15,1.2,Bullish,165.48,214.69,17,20.59,-49.21000000000001
0.5,0.2,1000,15,1.0,Bullish,163.22,214.69,17,1.88,-51.47
0.5,0.2,750,15,1.1,Bullish,163.14,214.69,17,1.88,-51.55000000000001
0.5,0.2,1000,15,1.1,Bullish,163.14,214.69,17,1.88,-51.55000000000001
0.5,0.2,750,15,1.2,Bullish,163.04,214.69,17,1.88,-51.650000000000006
0.5,0.2,500,15,1.0,Bullish,162.55,214.69,17,1.88,-52.139999999999986
0.5,0.1,500,15,1.1,Bullish,162.42,214.69,17,6.18,-52.27000000000001
0.5,0.1,1000,15,1.1,Bullish,162.11,214.69,17,6.18,-52.579999999999984
0.5,0.1,750,15,1.1,Bullish,162.11,214.69,17,6.18,-52.579999999999984
0.5,0.05,1000,15,1.2,Sideways,15.32,-4.99,36,14.86,20.310000000000002
0.5,0.05,750,15,1.2,Sideways,15.32,-4.99,36,14.86,20.310000000000002
0.5,0.05,500,15,1.2,Sideways,15.31,-4.99,36,14.86,20.3
0.4,0.05,500,15,1.2,Sideways,15.19,-4.99,36,15.11,20.18
0.5,0.05,1000,15,1.1,Sideways,14.63,-4.99,36,15.08,19.62
0.5,0.05,750,15,1.1,Sideways,14.63,-4.99,36,15.08,19.62
0.5,0.05,500,15,1.1,Sideways,14.58,-4.99,36,15.08,19.57
0.4,0.05,750,15,1.1,Sideways,14.43,-4.99,36,15.19,19.42
0.3,0.05,750,15,1.2,Sideways,14.23,-4.99,36,15.19,19.22
0.3,0.05,1000,15,1.2,Sideways,14.23,-4.99,36,15.19,19.22
0.5,0.05,500,15,1.0,Sideways,13.71,-4.99,36,15.17,18.700000000000003
0.4,0.05,500,15,1.0,Sideways,13.5,-4.99,36,15.22,18.490000000000002
0.4,0.05,1000,15,1.0,Sideways,13.5,-4.99,36,15.22,18.490000000000002
0.4,0.05,750,15,1.0,Sideways,13.5,-4.99,36,15.22,18.490000000000002
0.3,0.05,750,15,1.1,Sideways,13.37,-4.99,36,15.22,18.36
0.5,0.2,750,15,1.2,Sideways,12.76,-4.99,36,0.83,17.75
0.3,0.05,1000,15,1.0,Sideways,12.32,-4.99,36,15.22,17.310000000000002
0.3,0.05,500,15,1.0,Sideways,12.32,-4.99,36,15.22,17.310000000000002
0.3,0.05,750,15,1.0,Sideways,12.32,-4.99,36,15.22,17.310000000000002
0.5,0.2,750,15,1.1,Sideways,12.19,-4.99,36,0.83,17.18
0.5,0.2,1000,15,1.1,Sideways,12.19,-4.99,36,0.83,17.18
0.2,0.05,1000,15,1.2,Sideways,12.1,-4.99,36,15.22,17.09
0.2,0.05,750,15,1.2,Sideways,12.1,-4.99,36,15.22,17.09
0.5,0.2,500,15,1.0,Sideways,11.61,-4.99,36,0.83,16.6
0.5,0.2,1000,15,1.0,Sideways,11.61,-4.99,36,0.83,16.6
0.5,0.1,1000,15,1.1,Sideways,11.42,-4.99,36,3.72,16.41
0.5,0.1,750,15,1.1,Sideways,11.42,-4.99,36,3.72,16.41
0.5,0.1,500,15,1.1,Sideways,11.4,-4.99,36,3.72,16.39
0.2,0.05,500,15,1.1,Sideways,11.13,-4.99,36,15.22,16.12
0.4,0.1,500,15,1.1,Sideways,10.74,-4.99,36,3.72,15.73
0.4,0.2,1000,15,1.2,Sideways,10.58,-4.99,36,0.83,15.57
0.3,0.1,500,15,1.2,Sideways,10.33,-4.99,36,3.72,15.32
0.4,0.1,750,15,1.0,Sideways,10.06,-4.99,36,3.72,15.05
0.2,0.05,500,15,1.0,Sideways,10.04,-4.99,36,15.22,15.03
0.2,0.05,1000,15,1.0,Sideways,10.04,-4.99,36,15.22,15.03
0.2,0.05,750,15,1.0,Sideways,10.04,-4.99,36,15.22,15.03
0.4,0.2,1000,15,1.1,Sideways,10.03,-4.99,36,0.83,15.02
0.4,0.2,750,15,1.1,Sideways,10.03,-4.99,36,0.83,15.02
0.1,0.02,1000,15,1.2,Sideways,9.71,-4.99,36,73.17,14.700000000000001
0.1,0.02,500,15,1.2,Sideways,9.71,-4.99,36,73.17,14.700000000000001
0.4,0.2,500,15,1.0,Sideways,9.48,-4.99,36,0.83,14.47
0.2,0.02,1000,15,1.2,Sideways,8.78,-4.99,36,73.11,13.77
0.3,0.1,1000,15,1.0,Sideways,8.71,-4.99,36,3.72,13.700000000000001
0.3,0.1,750,15,1.0,Sideways,8.71,-4.99,36,3.72,13.700000000000001
0.3,0.1,500,15,1.0,Sideways,8.71,-4.99,36,3.72,13.700000000000001
0.2,0.1,500,15,1.2,Sideways,8.29,-4.99,36,3.72,13.28
0.2,0.1,1000,15,1.2,Sideways,8.29,-4.99,36,3.72,13.28
0.1,0.05,750,15,1.2,Sideways,7.88,-4.99,36,15.22,12.870000000000001
0.1,0.02,1000,15,1.1,Sideways,7.88,-4.99,36,73.17,12.870000000000001
0.3,0.2,500,15,1.2,Sideways,7.78,-4.99,36,0.83,12.77
0.3,0.2,750,15,1.2,Sideways,7.78,-4.99,36,0.83,12.77
0.3,0.2,1000,15,1.2,Sideways,7.78,-4.99,36,0.83,12.77
0.2,0.02,1000,15,1.1,Sideways,7.44,-4.99,36,73.17,12.43
0.2,0.1,500,15,1.1,Sideways,7.35,-4.99,36,3.72,12.34
0.3,0.2,1000,15,1.1,Sideways,7.29,-4.99,36,0.83,12.280000000000001
0.3,0.2,500,15,1.1,Sideways,7.29,-4.99,36,0.83,12.280000000000001
0.3,0.2,750,15,1.1,Sideways,7.29,-4.99,36,0.83,12.280000000000001
0.1,0.05,1000,15,1.1,Sideways,6.92,-4.99,36,15.22,11.91
