base_trade_pct,trigger_pct,max_trade_usd,min_trade_usd,multiplier,Market_Trend,Avg_Trading_Profit_USD,Avg_Hold_Profit_USD,Total_Months,Avg_Num_Trades
0.1,0.04,750,15,1.1,Sideways,17.0,2.84,20,20.95
0.3,0.035,500,15,1.05,Sideways,16.92,2.84,20,26.2
0.1,0.025,500,15,1.15,Sideways,16.89,2.84,20,45.65
0.1,0.025,250,15,1.15,Sideways,16.89,2.84,20,45.65
0.1,0.025,750,15,1.15,Sideways,16.89,2.84,20,45.65
0.2,0.025,500,15,1.1,Sideways,16.77,2.84,20,45.65
0.2,0.02,500,15,1.2,Sideways,16.74,2.84,20,65.45
0.15,0.025,250,15,1.1,Sideways,16.67,2.84,20,45.65
0.15,0.025,750,15,1.1,Sideways,16.67,2.84,20,45.65
0.3,0.025,750,15,1.1,Sideways,16.24,2.84,20,45.6
0.1,0.025,500,15,1.1,Sideways,16.16,2.84,20,45.65
0.1,0.025,250,15,1.1,Sideways,16.16,2.84,20,45.65
0.1,0.035,750,15,1.05,Sideways,16.02,2.84,20,26.25
0.3,0.025,500,15,1.05,Sideways,15.9,2.84,20,45.6
0.1,0.03,500,15,1.05,Sideways,15.77,2.84,20,32.85
0.1,0.02,500,15,1.05,Sideways,15.73,2.84,20,65.5
0.1,0.025,250,15,1.05,Sideways,15.41,2.84,20,45.65
0.25,0.02,250,15,1.1,Sideways,15.15,2.84,20,65.5
0.25,0.02,250,15,1.1,Sideways,15.15,2.84,20,65.5
0.3,0.02,500,15,1.05,Sideways,13.82,2.84,20,65.45
